spectrum_Out X,spectrum_Out Y,spectrum_ve X,spectrum_ve Y,spectrum_vin X,spectrum_vin Y
12695.3125,-49.21305444445668,12695.3125,-102.4140932108251,12695.3125,-302.4407098591432
12792.96875,-45.33856744407995,12792.96875,-98.53960621004072,12792.96875,-302.5296066002465
12890.625,-42.06338453185923,12890.625,-95.26442329785723,12890.625,-302.5336967669896
12988.28125,-58.14227934525316,12988.28125,-111.3433181107733,12988.28125,-302.3144940702001
13085.9375,-58.11199051605522,13085.9375,-111.3130292798723,13085.9375,-302.6533064781936
13183.59375,-53.34893132105994,13183.59375,-106.5499700861224,13183.59375,-302.3970549985027
13281.25,-44.81712722051316,13281.25,-98.0181659870687,13281.25,-302.7992902830997
13378.90625,-45.92492880845161,13378.90625,-99.12596757399668,13378.90625,-302.8113121583389
13476.5625,-54.21598111916942,13476.5625,-107.4170198865966,13476.5625,-302.7755313055461
13574.21875,-54.31402195203908,13574.21875,-107.5150607194703,13574.21875,-303.0154190702312
13671.875,-43.04615512796688,13671.875,-96.2471938944617,13671.875,-302.9248079183102
13769.53125,-48.28417510345969,13769.53125,-101.4852138696623,13769.53125,-303.0259199975725
13867.1875,-63.37265432518099,13867.1875,-116.5736930877304,13867.1875,-303.2253713780577
13964.84375,-53.26930966452507,13964.84375,-106.470348430802,13964.84375,-303.0988404106219
14062.5,-42.66503841125481,14062.5,-95.86607717734177,14062.5,-303.1911280988444
14160.15625,-51.05078244785423,14160.15625,-104.2518212130232,14160.15625,-303.4564137761948
14257.8125,-52.55324687826992,14257.8125,-105.7542856453325,14257.8125,-303.3817260595103
14355.46875,-50.47121745934098,14355.46875,-103.6722562262316,14355.46875,-303.3319341182882
14453.125,-43.65388565980011,14453.125,-96.85492442550947,14453.125,-303.5107027529069
14550.78125,-48.59859665976428,14550.78125,-101.7996354251929,14550.78125,-303.1990999566923
14648.4375,-47.03150443492749,14648.4375,-100.2325432006811,14648.4375,-303.5977391820322
14746.09375,-50.10616062637243,14746.09375,-103.30719939184,14746.09375,-303.7037214264681
14843.75,-49.33947496111007,14843.75,-102.5405137269263,14843.75,-303.5803997975516
14941.40625,-48.68199866996416,14941.40625,-101.8830374363657,14941.40625,-303.7093339594079
15039.0625,-46.5179102775278,15039.0625,-99.71894904332252,15039.0625,-303.748282135184
15136.71875,-56.36855798549603,15136.71875,-109.569596753194,15136.71875,-303.788321353602
15234.375,-46.11414526085465,15234.375,-99.31518402650133,15234.375,-303.942249164432
15332.03125,-50.2836398927283,15332.03125,-103.4846786589668,15332.03125,-303.9541330042112
15429.6875,-44.53179771791402,15429.6875,-97.73283648388701,15429.6875,-303.9806791281802
15527.34375,-49.36519828533618,15527.34375,-102.5662370518906,15527.34375,-303.9951913611754
15625,-47.341073919185,15625,-100.542112684798,15625,-304.2252996942958
15722.65625,-45.65885605558285,15722.65625,-98.85989482214808,15722.65625,-304.238933253623
15820.3125,-53.93497341055867,15820.3125,-107.136012176279,15820.3125,-304.2250490681346
15917.96875,-52.84759937634524,15917.96875,-106.048638141407,15917.96875,-304.3611394058975
16015.625,-49.94748435962369,16015.625,-103.1485231251784,16015.625,-304.2908717903917
16113.28125,-44.91575279325986,16113.28125,-98.11679155899709,16113.28125,-304.3664221205082
16210.9375,-48.06355270168841,16210.9375,-101.264591467901,16210.9375,-304.4834447606755
16308.59375,-49.94595087555176,16308.59375,-103.1469896412962,16308.59375,-304.4173912489999
16406.25,-45.7817124105508,16406.25,-98.98275117708371,16406.25,-304.5380792569836
16503.90625,-47.27403663996634,16503.90625,-100.4750754055824,16503.90625,-304.5468780446174
16601.5625,-48.67341938000774,16601.5625,-101.8744581457358,16601.5625,-304.6606370018725
16699.21875,-49.13872547579717,16699.21875,-102.3397642414834,16699.21875,-304.7693224675015
16796.875,-62.36916410446193,16796.875,-115.5702028686319,16796.875,-304.7050787623972
16894.53125,-59.34482031008929,16894.53125,-112.545859074729,16894.53125,-304.832995560304
16992.1875,-52.6350095134522,16992.1875,-105.8360482802417,16992.1875,-304.9412281786133
17089.84375,-56.03022781145399,17089.84375,-109.2312665789152,17089.84375,-304.9974920030055
